"","책1","책2","책4","책5","score"
"1",4,4,5,4,3.06459827727476
"2",4,2,2,3,1.01693630088684
"3",5,5,5,5,4
"4",2,4,3,2,1.01693630088684
"5",0,1,1,1,-1.41737095912558
"6",3,3,3,3,1.26360609910425
"7",3,3,2,4,1.26360609910425
"8",4,4,4,3,2.16488097011321
"9",3,3,4,4,1.82235502545685
"10",3,1,2,2,0.285924993314301
"11",4,3,3,3,1.52768593870586
"12",3,2,4,2,1.01693630088684
"13",4,4,4,3,2.16488097011321
"14",3,3,2,3,1.01693630088684
"15",3,4,2,2,1.01693630088684
"16",3,2,2,3,0.777437986224672
"17",3,2,4,4,1.52768593870586
"18",2,0,0,4,-0.276673450600689
"19",0,0,0,0,-3.90405391654076
"20",3,3,1,1,0.2859249933143
"21",4,4,2,1,1.01693630088684
"22",3,4,4,5,2.5745162033106
"23",3,3,3,3,1.26360609910425
"24",5,2,3,5,2.16488097011321
"25",4,2,2,3,1.01693630088684
"26",2,3,1,2,0.2859249933143
"27",3,2,3,4,1.26360609910425
"28",4,2,3,4,1.52768593870586
"30",5,2,3,5,2.16488097011321
"31",2,2,2,3,0.536436331874404
"33",2,1,2,2,0.0177416290206821
"34",4,4,4,3,2.16488097011321
"35",4,3,4,4,2.16488097011321
"36",2,2,3,4,1.01693630088684
"37",4,3,3,3,1.52768593870586
"38",4,4,3,5,2.5745162033106
"39",4,4,3,2,1.52768593870586
"40",4,4,3,5,2.5745162033106
"41",3,4,2,2,1.01693630088684
"42",1,2,1,1,-0.606564101206592
"43",3,3,3,4,1.52768593870586
"44",2,3,3,1,0.536436331874403
"45",4,4,3,4,2.16488097011321
"48",2,3,4,4,1.52768593870586
"49",3,4,3,4,1.82235502545685
"50",2,3,3,3,1.01693630088684
"51",1,1,2,2,-0.276673450600689
"52",3,2,2,2,0.536436331874404
"53",5,5,4,2,2.5745162033106
"54",4,3,4,4,2.16488097011321
"55",2,3,4,3,1.26360609910425
"56",3,3,2,3,1.01693630088684
"58",1,3,2,2,0.285924993314301
"60",4,5,5,5,4
"61",0,1,1,1,-1.41737095912558
"62",4,3,1,1,0.536436331874404
"63",2,3,4,4,1.52768593870586
"64",5,4,5,5,4
"65",2,2,2,2,0.2859249933143
"66",2,2,3,3,0.777437986224673
"67",0,1,4,4,0.536436331874403
"68",2,2,2,1,0.0177416290206816
"69",1,2,3,3,0.536436331874403
"70",5,2,3,4,1.82235502545685
"71",5,5,5,5,4
"72",1,1,2,1,-0.606564101206592
"73",3,2,1,3,0.536436331874403
"74",1,4,3,4,1.26360609910425
"75",2,1,2,2,0.0177416290206821
"76",1,2,1,0,-0.982155071350898
"77",1,2,3,1,0.017741629020682
"78",4,4,3,2,1.52768593870586
"79",1,3,3,2,0.536436331874404
"81",3,4,2,4,1.52768593870586
"82",5,5,5,5,4
"83",4,1,3,2,0.777437986224672
"84",2,2,3,2,0.536436331874403
"85",1,2,3,1,0.017741629020682
"86",1,3,1,3,0.285924993314301
"88",3,3,3,3,1.26360609910425
"89",4,3,4,5,2.5745162033106
"90",4,4,3,3,1.82235502545685
"91",2,1,2,2,0.0177416290206821
"92",3,2,0,2,0.0177416290206817
"93",3,3,4,4,1.82235502545685
"94",1,2,1,1,-0.606564101206592
"95",4,3,4,4,2.16488097011321
"97",1,3,3,3,0.777437986224673
"98",3,2,2,2,0.536436331874404
"99",2,2,2,2,0.2859249933143
"100",3,5,5,3,2.57451620331061
"101",3,4,5,3,2.16488097011321
"102",3,4,4,4,2.16488097011321
"103",2,2,2,1,0.0177416290206816
"105",1,1,1,2,-0.606564101206592
"106",4,3,2,4,1.52768593870586
"108",2,3,1,2,0.2859249933143
"109",2,2,3,2,0.536436331874403
"110",1,2,1,2,-0.276673450600689
"111",4,3,3,3,1.52768593870586
"113",2,3,3,2,0.777437986224673
"114",5,4,5,5,4
"115",3,4,3,3,1.52768593870586
"116",5,5,5,5,4
"117",2,4,3,4,1.52768593870586
"118",2,3,3,4,1.26360609910425
"119",2,1,4,4,1.01693630088684
"120",3,3,3,3,1.26360609910425
"122",5,2,4,3,1.82235502545685
"123",4,3,4,4,2.16488097011321
"124",3,4,3,2,1.26360609910425
"125",2,4,4,4,1.82235502545685
"126",4,4,3,2,1.52768593870586
"127",4,4,5,4,3.06459827727476
"128",2,3,2,2,0.536436331874403
"129",3,3,3,2,1.01693630088684
"130",1,1,1,1,-0.982155071350899
"131",3,4,2,3,1.26360609910425
"132",1,2,1,1,-0.606564101206592
"134",2,1,2,4,0.536436331874404
"135",1,5,1,1,0.2859249933143
"136",1,3,2,2,0.285924993314301
"137",1,2,2,1,-0.276673450600689
"138",4,5,4,5,3.64701757396077
"140",2,1,2,2,0.0177416290206821
"141",1,2,3,4,0.777437986224673
"142",2,1,4,4,1.01693630088684
"143",3,3,3,4,1.52768593870586
"144",3,4,5,4,2.5745162033106
"146",2,3,3,2,0.777437986224673
"147",1,1,3,3,0.285924993314301
"148",4,4,3,3,1.82235502545685
"149",1,1,2,2,-0.276673450600689
"150",0,1,0,2,-1.41737095912558
"151",1,4,3,3,1.01693630088684
"152",3,4,3,2,1.26360609910425
"153",4,4,5,5,3.64701757396077
"154",2,2,2,1,0.0177416290206816
"155",4,3,4,3,1.82235502545685
"156",2,2,4,4,1.26360609910425
"158",3,2,2,2,0.536436331874404
"159",4,2,4,3,1.52768593870586
"161",1,1,2,2,-0.276673450600689
"162",1,0,2,3,-0.276673450600689
"163",3,3,3,3,1.26360609910425
"164",4,4,5,1,1.82235502545685
"165",5,5,5,5,4
"166",4,4,4,4,2.5745162033106
"167",4,4,2,3,1.52768593870586
"168",4,4,5,5,3.64701757396077
"169",4,4,4,5,3.06459827727476
"171",2,1,1,1,-0.606564101206592
"172",2,2,1,5,0.777437986224673
"174",5,5,5,5,4
"175",4,4,4,4,2.5745162033106
"176",3,2,2,2,0.536436331874404
"177",4,4,5,4,3.06459827727476
"178",2,2,5,2,1.01693630088684
"180",4,3,3,2,1.26360609910425
"182",2,2,4,4,1.26360609910425
"183",5,5,5,5,4
"184",4,4,4,4,2.5745162033106
"185",2,1,3,2,0.285924993314301
"186",1,3,3,4,1.01693630088684
"187",5,5,5,5,4
"188",1,2,2,1,-0.276673450600689
"189",1,2,0,0,-1.41737095912558
"190",1,2,2,2,0.017741629020682
"191",2,3,3,3,1.01693630088684
"192",3,0,1,3,0.017741629020682
"193",4,3,3,3,1.52768593870586
"195",4,2,2,2,0.777437986224673
"197",2,2,4,3,1.01693630088684
"198",2,3,4,2,1.01693630088684
"199",3,2,3,2,0.777437986224673
"200",5,5,5,5,4
"201",3,2,3,5,1.52768593870586
"202",2,1,3,1,0.0177416290206819
"203",1,1,1,1,-0.982155071350899
"205",4,4,4,2,1.82235502545685
"206",2,1,1,2,-0.276673450600689
"207",2,2,3,4,1.01693630088684
"209",3,3,4,4,1.82235502545685
"210",2,2,4,2,0.777437986224673
"211",4,3,1,4,1.26360609910425
"212",1,2,2,1,-0.276673450600689
"213",3,1,3,4,1.01693630088684
"214",0,0,1,2,-1.41737095912558
"215",3,2,3,3,1.01693630088684
"217",0,1,1,2,-0.982155071350898
"218",3,4,2,1,0.777437986224672
"219",4,3,3,2,1.26360609910425
"220",4,1,2,3,0.777437986224672
"221",2,2,1,0,-0.606564101206592
"222",4,3,4,2,1.52768593870586
"223",3,4,5,1,1.52768593870586
"224",5,4,3,3,2.16488097011321
"225",4,2,4,4,1.82235502545685
"226",1,2,3,3,0.536436331874403
"227",3,3,3,2,1.01693630088684
"228",4,4,3,4,2.16488097011321
"229",4,4,4,3,2.16488097011321
"230",4,3,2,2,1.01693630088684
"231",4,4,4,4,2.5745162033106
"232",4,0,3,0,0.0177416290206817
"233",5,5,5,4,4
"234",1,2,1,2,-0.276673450600689
"235",5,4,4,5,3.64701757396077
"236",3,2,3,3,1.01693630088684
"237",5,4,5,4,3.64701757396077
"239",3,2,2,5,1.26360609910425
"240",3,3,4,4,1.82235502545685
"241",5,5,3,3,2.57451620331061
"242",4,2,3,3,1.26360609910425
"244",3,2,2,3,0.777437986224672
"245",5,5,5,5,4
"247",5,5,4,3,3.06459827727476
"248",3,4,4,4,2.16488097011321
"249",3,3,1,3,0.777437986224673
"250",0,2,3,0,-0.606564101206592
"251",5,4,2,4,2.16488097011321
"252",1,2,1,4,0.2859249933143
"253",4,4,4,4,2.5745162033106
"254",4,3,5,5,3.06459827727476
"256",4,4,3,4,2.16488097011321
"257",5,5,4,4,3.64701757396077
"258",3,3,0,0,-0.276673450600689
"259",4,4,4,4,2.5745162033106
"260",3,1,3,2,0.536436331874403
"261",2,2,4,4,1.26360609910425
"262",4,5,4,5,3.64701757396077
"263",0,1,1,0,-1.94037052133783
"264",2,3,5,3,1.52768593870586
"265",1,2,1,2,-0.276673450600689
"266",5,5,5,3,3.64701757396077
"267",4,4,4,3,2.16488097011321
"268",4,4,3,4,2.16488097011321
"269",4,3,3,3,1.52768593870586
"272",3,1,3,3,0.777437986224673
"273",5,5,3,5,3.64701757396077
"274",4,3,5,4,2.5745162033106
"275",1,1,0,1,-1.41737095912558
"276",3,2,4,3,1.26360609910425
"277",2,1,2,3,0.285924993314301
"278",0,0,1,2,-1.41737095912558
"279",2,3,4,4,1.52768593870586
"280",4,2,3,3,1.26360609910425
"282",3,2,2,3,0.777437986224672
"283",3,3,5,4,2.16488097011321
"284",4,4,4,4,2.5745162033106
"285",4,2,4,4,1.82235502545685
"286",4,4,4,5,3.06459827727476
"287",3,3,4,3,1.52768593870586
"289",3,4,3,4,1.82235502545685
"290",1,2,1,1,-0.606564101206592
"291",1,1,1,3,-0.276673450600689
"292",5,5,5,5,4
"293",3,4,5,4,2.5745162033106
"296",3,0,1,1,-0.606564101206592
"297",3,4,3,4,1.82235502545685
"298",1,2,1,2,-0.276673450600689
"299",1,1,2,2,-0.276673450600689
"300",2,3,3,3,1.01693630088684
"301",1,3,3,4,1.01693630088684
"302",3,4,3,2,1.26360609910425
"303",4,1,2,5,1.26360609910425
"304",4,4,4,4,2.5745162033106
"305",2,1,1,2,-0.276673450600689
"306",3,4,2,4,1.52768593870586
"308",1,1,1,1,-0.982155071350899
"309",2,2,1,2,0.017741629020682
"310",5,4,4,3,2.5745162033106
"311",3,3,3,2,1.01693630088684
"312",4,4,4,4,2.5745162033106
"313",4,4,4,5,3.06459827727476
"314",4,4,4,4,2.5745162033106
"315",1,1,0,1,-1.41737095912558
"316",1,1,3,4,0.536436331874404
"317",3,4,4,5,2.5745162033106
"318",3,4,4,2,1.52768593870586
"319",1,1,1,3,-0.276673450600689
"320",0,3,1,1,-0.606564101206592
"321",4,4,4,3,2.16488097011321
"322",4,4,4,3,2.16488097011321
"323",2,2,3,2,0.536436331874403
"325",4,3,4,5,2.5745162033106
"327",4,4,5,5,3.64701757396077
"328",4,5,5,5,4
"329",4,5,4,1,1.82235502545685
"330",1,3,5,3,1.26360609910425
"331",4,3,2,3,1.26360609910425
"332",5,5,5,5,4
"333",4,3,4,3,1.82235502545685
"334",4,4,3,4,2.16488097011321
"336",2,3,1,3,0.536436331874403
"337",2,3,0,0,-0.606564101206592
"338",5,4,5,4,3.64701757396077
"339",2,2,2,4,0.777437986224673
"340",4,4,3,3,1.82235502545685
"341",2,2,2,4,0.777437986224673
"342",4,4,4,4,2.5745162033106
"343",2,2,2,1,0.0177416290206816
"344",4,4,4,3,2.16488097011321
"345",3,2,4,2,1.01693630088684
"346",2,3,1,1,0.0177416290206818
"347",5,3,4,3,2.16488097011321
"349",1,2,2,3,0.285924993314301
"350",0,0,5,0,-0.606564101206592
"351",2,4,5,5,2.57451620331061
"352",5,4,5,4,3.64701757396077
"354",5,4,2,4,2.16488097011321
"355",1,1,2,2,-0.276673450600689
"356",4,4,4,4,2.5745162033106
"357",3,2,4,3,1.26360609910425
"359",3,3,2,1,0.536436331874404
"360",2,3,3,4,1.26360609910425
"361",2,3,2,3,0.777437986224673
"364",2,2,1,1,-0.276673450600689
"366",1,3,3,1,0.2859249933143
"368",1,1,1,0,-1.41737095912558
"369",2,1,1,3,0.017741629020682
"370",2,2,1,1,-0.276673450600689
"371",4,3,3,4,1.82235502545685
"372",1,0,1,1,-1.41737095912558
"374",1,2,3,2,0.285924993314301
"375",2,2,3,1,0.2859249933143
"376",2,3,3,3,1.01693630088684
"377",1,1,1,2,-0.606564101206592
"378",3,2,2,4,1.01693630088684
"379",2,4,4,3,1.52768593870586
"380",4,4,4,4,2.5745162033106
"381",2,4,3,1,0.777437986224673
"382",2,2,2,2,0.2859249933143
"384",5,2,3,5,2.16488097011321
"385",4,4,2,4,1.82235502545685
"389",1,2,1,1,-0.606564101206592
"390",1,1,1,1,-0.982155071350899
"391",0,1,0,2,-1.41737095912558
"392",1,1,2,2,-0.276673450600689
"393",1,2,1,1,-0.606564101206592
"394",5,2,2,2,1.01693630088684
"395",1,1,3,2,0.0177416290206817
"397",4,3,3,3,1.52768593870586
"400",4,2,4,4,1.82235502545685
"402",5,4,4,4,3.06459827727476
"403",4,3,3,2,1.26360609910425
"404",5,5,4,0,1.82235502545685
"405",4,4,5,5,3.64701757396077
"406",1,2,3,1,0.017741629020682
"409",1,0,3,3,0.0177416290206815
"410",3,3,0,1,0.0177416290206818
"411",5,5,5,5,4
"412",3,3,4,4,1.82235502545685
"413",4,3,4,4,2.16488097011321
"414",0,0,2,0,-1.94037052133783
"415",4,4,4,4,2.5745162033106
"416",4,4,4,4,2.5745162033106
"418",0,1,1,1,-1.41737095912558
"419",2,1,2,2,0.0177416290206821
"420",2,4,2,2,0.777437986224673
"421",1,3,3,3,0.777437986224673
"422",0,2,2,2,-0.276673450600689
"423",5,5,5,4,4
"424",3,3,2,3,1.01693630088684
"425",4,4,4,4,2.5745162033106
"426",3,5,5,5,3.64701757396077
"427",4,2,4,4,1.82235502545685
"428",1,2,3,3,0.536436331874403
"430",3,3,1,3,0.777437986224673
"431",5,5,4,2,2.5745162033106
"433",1,1,3,3,0.285924993314301
"434",4,3,4,4,2.16488097011321
"435",1,0,1,0,-1.94037052133783
"436",2,2,2,4,0.777437986224673
"437",4,5,5,3,3.06459827727476
"438",2,3,3,5,1.52768593870586
"441",0,1,1,1,-1.41737095912558
"442",1,3,3,2,0.536436331874404
"443",3,3,4,4,1.82235502545685
"444",2,2,2,2,0.2859249933143
"446",4,1,2,2,0.536436331874404
"447",2,2,3,2,0.536436331874403
"448",5,5,4,4,3.64701757396077
"449",1,1,4,5,1.01693630088684
"450",2,2,3,0,0.0177416290206818
"451",1,0,1,4,-0.276673450600689
"453",5,4,3,3,2.16488097011321
"454",3,3,5,2,1.52768593870586
"456",4,4,4,4,2.5745162033106
"458",2,3,3,4,1.26360609910425
"459",4,3,4,3,1.82235502545685
"460",3,3,2,1,0.536436331874404
"461",4,3,2,2,1.01693630088684
"462",5,5,1,4,2.16488097011321
"463",2,1,2,1,-0.276673450600689
"464",4,3,3,2,1.26360609910425
"465",1,2,2,2,0.017741629020682
"467",3,1,2,5,1.01693630088684
"468",2,1,2,0,-0.606564101206593
"469",4,4,4,4,2.5745162033106
"470",3,3,3,3,1.26360609910425
"471",3,4,4,3,1.82235502545685
"472",1,3,2,2,0.285924993314301
"473",1,2,2,4,0.536436331874404
"475",5,4,5,4,3.64701757396077
"476",1,1,3,2,0.0177416290206817
"477",2,1,1,0,-0.982155071350898
"478",4,4,4,4,2.5745162033106
"479",4,3,4,3,1.82235502545685
"480",3,2,3,4,1.26360609910425
"481",4,1,2,1,0.2859249933143
"484",3,3,3,3,1.26360609910425
"485",3,2,3,1,0.536436331874403
"486",5,3,4,2,1.82235502545685
"487",4,3,3,3,1.52768593870586
"489",4,3,3,2,1.26360609910425
"490",1,3,2,2,0.285924993314301
"492",5,5,5,5,4
"493",4,1,2,3,0.777437986224672
"494",3,3,2,2,0.777437986224673
"495",2,3,3,1,0.536436331874403
"496",4,4,4,3,2.16488097011321
"497",2,1,2,2,0.0177416290206821
"498",4,4,4,4,2.5745162033106
"499",1,1,3,2,0.0177416290206817
"500",4,4,3,3,1.82235502545685
"501",2,4,3,4,1.52768593870586
"503",2,1,2,3,0.285924993314301
"504",5,3,4,4,2.5745162033106
"505",4,4,4,4,2.5745162033106
